,L16,L16-,P_cons,P_prod,P_tot
2021-12-17 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:08+01:00,135.00000000931323,0.0,135.00000000931323,0.0,135.00000000931323
2021-12-17 00:00:16+01:00,136.00000005681068,0.0,136.00000005681068,0.0,136.00000005681068
2021-12-17 00:00:24+01:00,136.00000005681068,0.0,136.00000005681068,0.0,136.00000005681068
2021-12-17 00:00:32+01:00,136.9999999878928,0.0,136.9999999878928,0.0,136.9999999878928
2021-12-17 00:00:40+01:00,140.00000001396984,0.0,140.00000001396984,0.0,140.00000001396984
2021-12-17 00:00:48+01:00,136.00000005681068,0.0,136.00000005681068,0.0,136.00000005681068
2021-12-17 00:00:56+01:00,138.9999999664724,0.0,138.9999999664724,0.0,138.9999999664724
2021-12-17 00:01:04+01:00,140.00000001396984,0.0,140.00000001396984,0.0,140.00000001396984
2021-12-17 00:01:12+01:00,136.9999999878928,0.0,136.9999999878928,0.0,136.9999999878928
2021-12-17 00:01:20+01:00,136.00000005681068,0.0,136.00000005681068,0.0,136.00000005681068
2021-12-17 00:01:28+01:00,138.00000003539026,0.0,138.00000003539026,0.0,138.00000003539026
2021-12-17 00:01:36+01:00,136.9999999878928,0.0,136.9999999878928,0.0,136.9999999878928
2021-12-17 00:01:44+01:00,138.9999999664724,0.0,138.9999999664724,0.0,138.9999999664724
2021-12-17 00:01:52+01:00,140.00000001396984,0.0,140.00000001396984,0.0,140.00000001396984
2021-12-17 00:02:00+01:00,138.9999999664724,0.0,138.9999999664724,0.0,138.9999999664724
2021-12-17 00:02:08+01:00,138.00000003539026,0.0,138.00000003539026,0.0,138.00000003539026
2021-12-17 00:02:16+01:00,136.00000005681068,0.0,136.00000005681068,0.0,136.00000005681068
2021-12-17 00:02:24+01:00,136.9999999878928,0.0,136.9999999878928,0.0,136.9999999878928
2021-12-17 00:02:32+01:00,138.00000003539026,0.0,138.00000003539026,0.0,138.00000003539026
2021-12-17 00:02:40+01:00,145.00000001862645,0.0,145.00000001862645,0.0,145.00000001862645
