,PV_Brun,PV_Brun-,PV_Gris-,PV_Gris,PV_Noir-,PV_Noir,Brun,Brun-,Gris,Gris-,Noir,Noir-,P_cons,P_prod,P_tot
2021-12-17 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:08+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,613.9999999431893,0.0,756.0000000521541,0.0,83.00000001327135,0.0,1442.0000000081927,11.000000000422006,1453.0000000086147
2021-12-17 00:00:16+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,606.9999999599531,0.0,756.9999999832362,0.0,83.00000001327135,0.0,1436.9999999564698,9.999999999990905,1446.9999999564607
2021-12-17 00:00:24+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,606.000000028871,0.0,754.9999998882413,0.0,83.00000001327135,0.0,1432.9999999299616,11.000000000422006,1443.9999999303836
2021-12-17 00:00:32+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,606.9999999599531,0.0,760.9999999403954,0.0,84.00000000256114,0.0,1440.999999902715,11.000000000194632,1451.9999999029096
2021-12-17 00:00:40+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,604.0000000502914,0.0,757.9999999143183,0.0,84.99999999185093,0.0,1435.999999956266,11.000000000194632,1446.9999999564607
2021-12-17 00:00:48+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,606.000000028871,0.0,760.0000000093132,0.0,84.00000000256114,0.0,1440.000000040527,10.000000000218279,1450.0000000407454
2021-12-17 00:00:56+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,604.9999999813735,0.0,756.9999999832362,0.0,84.99999999185093,0.0,1435.999999956266,11.000000000194632,1446.9999999564607
2021-12-17 00:01:04+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,606.000000028871,0.0,752.0000000949949,0.0,84.00000000256114,0.0,1431.0000001262324,11.000000000194632,1442.000000126427
2021-12-17 00:01:12+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,609.9999999860302,0.0,757.9999999143183,0.0,84.00000000256114,0.0,1441.9999999026913,10.000000000218279,1451.9999999029096
2021-12-17 00:01:20+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,609.000000054948,0.0,760.0000000093132,0.0,84.00000000256114,0.0,1443.0000000666041,10.000000000218279,1453.0000000668224
2021-12-17 00:01:28+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,611.0000000335276,0.0,756.0000000521541,0.0,83.00000001327135,0.0,1439.0000000987584,11.000000000194632,1450.000000098953
2021-12-17 00:01:36+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,611.9999999646097,0.0,762.0000001043081,0.0,84.00000000256114,0.0,1448.0000000712607,10.000000000218279,1458.000000071479
2021-12-17 00:01:44+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,608.0000000074506,0.0,762.0000001043081,0.0,84.00000000256114,0.0,1443.0000001141252,11.000000000194632,1454.0000001143198
2021-12-17 00:01:52+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,603.000000002794,0.0,759.0000000782311,0.0,86.00000001024455,0.0,1437.000000091075,11.000000000194632,1448.0000000912696
2021-12-17 00:02:00+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,603.000000002794,0.0,760.0000000093132,0.0,84.00000000256114,0.0,1437.00000001445,10.000000000218279,1447.0000000146683
2021-12-17 00:02:08+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,609.000000054948,0.0,762.0000001043081,0.0,84.99999999185093,0.0,1445.0000001509125,11.000000000194632,1456.000000151107
2021-12-17 00:02:16+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,609.000000054948,0.0,763.0000000353903,0.0,84.00000000256114,0.0,1446.0000000926811,10.000000000218279,1456.0000000928994
2021-12-17 00:02:24+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,609.9999999860302,0.0,750.9999999310821,0.0,83.00000001327135,0.0,1433.9999999301654,10.000000000218279,1443.9999999303836
2021-12-17 00:02:32+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,611.9999999646097,0.0,754.9999998882413,0.0,84.00000000256114,0.0,1440.999999855194,10.000000000218279,1450.9999998554122
2021-12-17 00:02:40+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,606.9999999599531,0.0,752.0000000949949,0.0,83.00000001327135,0.0,1431.0000000680247,11.000000000194632,1442.0000000682194
2021-12-17 00:02:48+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,603.000000002794,0.0,750.9999999310821,0.0,81.00000000558794,0.0,1424.9999999392458,10.000000000218279,1434.999999939464
2021-12-17 00:02:56+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,611.0000000335276,0.0,763.0000000353903,0.0,84.00000000256114,0.0,1447.0000000712844,11.000000000194632,1458.000000071479
2021-12-17 00:03:04+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,604.0000000502914,0.0,753.9999999571592,0.0,83.00000001327135,0.0,1431.0000000205036,10.000000000218279,1441.000000020722
