,ECHASC_PV_Brun,ECHASC_PV_Brun-,ECHASC_PV_Gris-,ECHASC_PV_Gris,ECHASC_PV_Noir-,ECHASC_PV_Noir,ECHASC_Brun,ECHASC_Brun-,ECHASC_Gris,ECHASC_Gris-,ECHASC_Noir,ECHASC_Noir-,ECHBUA_Brun-,ECHBUA_Brun,ECHBUA_Gris,ECHBUA_Gris-,ECHBUA_Noir,ECHBUA_Noir-,ECHBUA_PV_Brun-,ECHBUA_PV_Brun,ECHBUA_PV_Gris,ECHBUA_PV_Gris-,ECHBUA_PV_Noir,ECHBUA_PV_Noir-,ECHL16_L16,ECHL16_L16-,ECHL05_L5,ECHL05_L5-,P_cons,P_prod,P_tot
2021-12-17 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.875000009313226,17.750000013620593,0.0,70.49999997252598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.1249999954598,0.0,145.1249999954598
2021-12-17 00:00:08+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,613.9999999431893,0.0,756.0000000521541,0.0,83.00000001327135,0.0,0.0,80.62500003143214,20.375000014610123,0.0,96.12499995273538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.00000000931323,0.0,0.0,0.0,1774.1250000162836,11.000000000422006,1785.1250000167056
2021-12-17 00:00:16+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,606.9999999599531,0.0,756.9999999832362,0.0,83.00000001327135,0.0,0.0,86.87500000814907,20.25000000867294,0.0,100.50000005867332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.00000005681068,0.0,0.0,0.0,1780.6250000887758,9.999999999990905,1790.6250000887667
2021-12-17 00:00:24+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,606.000000028871,0.0,754.9999998882413,0.0,83.00000001327135,0.0,0.0,100.37500006728806,20.2500000159489,0.0,110.62500003026798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.00000005681068,0.0,0.0,0.0,1800.2500001002772,11.000000000422006,1811.2500001006993
2021-12-17 00:00:32+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,606.9999999599531,0.0,760.9999999403954,0.0,84.00000000256114,0.0,0.0,73.62500004819594,20.2500000159489,0.0,83.8750000402797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.9999999878928,0.0,0.0,0.0,1755.7499999950323,11.000000000194632,1766.749999995227
2021-12-17 00:00:40+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,604.0000000502914,0.0,757.9999999143183,0.0,84.99999999185093,0.0,0.0,100.62500002095476,20.2500000159489,0.0,110.75000005075708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.00000001396984,0.0,0.0,0.0,1807.6250000578966,11.000000000194632,1818.6250000580912
2021-12-17 00:00:48+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,606.000000028871,0.0,760.0000000093132,0.0,84.00000000256114,0.0,0.0,100.75000001234002,20.375000014610123,0.0,110.87500001303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.00000005681068,0.0,0.0,0.0,1808.0000001373264,10.000000000218279,1818.0000001375447
2021-12-17 00:00:56+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,604.9999999813735,0.0,756.9999999832362,0.0,84.99999999185093,0.0,0.0,101.37499996926636,20.125000017287675,0.0,110.62500003026798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9999999664724,0.0,0.0,0.0,1807.1249999395604,11.000000000194632,1818.124999939755
2021-12-17 00:01:04+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,606.000000028871,0.0,752.0000000949949,0.0,84.00000000256114,0.0,0.0,101.37499996926636,20.125000017287675,0.0,111.12499999580905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.00000001396984,0.0,0.0,0.0,1803.6250001225653,11.000000000194632,1814.62500012276
2021-12-17 00:01:12+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,609.9999999860302,0.0,757.9999999143183,0.0,84.00000000256114,0.0,0.0,74.37499999650754,20.2500000159489,0.0,84.37500000582077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.9999999878928,0.0,0.0,0.0,1757.9999999088614,10.000000000218279,1767.9999999090796
2021-12-17 00:01:20+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,609.000000054948,0.0,760.0000000093132,0.0,84.00000000256114,0.0,0.0,106.25000001164153,20.2500000159489,0.0,116.25000002095476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.00000005681068,0.0,0.0,0.0,1821.75000017196,10.000000000218279,1831.7500001721783
2021-12-17 00:01:28+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,611.0000000335276,0.0,756.0000000521541,0.0,83.00000001327135,0.0,0.0,103.49999996833503,20.375000014610123,0.0,113.37499998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.00000003539026,0.0,0.0,0.0,1814.2500001033568,11.000000000194632,1825.2500001035514
