,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:03:44+01:00,0.0,82.62500001001172,20.125000017287675,0.0,97.75000004447065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.50000007177005,0.0,200.50000007177005
2021-12-17 00:03:52+01:00,0.0,54.874999972525984,20.125000017287675,0.0,70.24999998975545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.2499999795691,0.0,145.2499999795691
2021-12-17 00:04:00+01:00,0.0,83.00000001327135,20.00000001862645,0.0,97.99999996903352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.00000000093132,0.0,201.00000000093132
2021-12-17 00:04:08+01:00,0.0,82.87499999278225,20.125000017287675,0.0,97.74999998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.74999999633292,0.0,200.74999999633292
2021-12-17 00:04:16+01:00,0.0,82.50000001862645,20.125000017287675,0.0,97.50000000349246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1250000394066,0.0,200.1250000394066
2021-12-17 00:04:24+01:00,0.0,82.99999998416752,20.125000017287675,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.99999997910345,0.0,200.99999997910345
2021-12-17 00:04:32+01:00,0.0,54.24999998649582,20.000000011350494,0.0,69.37499999185093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.62499998969724,0.0,143.62499998969724
2021-12-17 00:04:40+01:00,0.0,82.75000000139698,20.00000001862645,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62500002677552,0.0,200.62500002677552
2021-12-17 00:04:48+01:00,0.0,82.87499999278225,20.2500000159489,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.00000001548324,0.0,201.00000001548324
2021-12-17 00:04:56+01:00,0.0,82.62500001001172,20.125000017287675,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62500003405148,0.0,200.62500003405148
2021-12-17 00:05:04+01:00,0.0,82.62500001001172,20.125000017287675,0.0,97.74999998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.50000001356238,0.0,200.50000001356238
2021-12-17 00:05:12+01:00,0.0,54.37499997788109,20.000000011350494,0.0,69.25000000046566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.62499998969724,0.0,143.62499998969724
2021-12-17 00:05:20+01:00,0.0,82.75000000139698,20.000000004074536,0.0,97.4999999452848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.24999995075632,0.0,200.24999995075632
2021-12-17 00:05:28+01:00,0.0,83.12499997555278,20.000000011350494,0.0,97.99999999813735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.12499998504063,0.0,201.12499998504063
2021-12-17 00:05:36+01:00,0.0,82.74999997229315,20.00000001862645,0.0,97.74999992805533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.49999991897494,0.0,200.49999991897494
2021-12-17 00:05:44+01:00,0.0,82.87499999278225,20.125000017287675,0.0,97.74999998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.74999999633292,0.0,200.74999999633292
2021-12-17 00:05:52+01:00,0.0,54.24999998649582,20.00000001862645,0.0,69.3749999627471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.62499996786937,0.0,143.62499996786937
2021-12-17 00:06:00+01:00,0.0,82.74999997229315,20.00000001862645,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499996856786,0.0,200.62499996856786
2021-12-17 00:06:08+01:00,0.0,82.62499998090789,20.00000001862645,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.24999996530823,0.0,200.24999996530823
2021-12-17 00:06:16+01:00,0.0,82.74999997229315,20.125000017287675,0.0,97.99999999813735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.87499998771818,0.0,200.87499998771818
2021-12-17 00:06:24+01:00,0.0,82.62500001001172,20.00000001862645,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.24999999441206,0.0,200.24999999441206
2021-12-17 00:06:32+01:00,0.0,54.12499999511056,19.87500001268927,0.0,69.3749999627471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.37499997054692,0.0,143.37499997054692
2021-12-17 00:06:40+01:00,0.0,82.50000001862645,20.00000001862645,0.0,97.37499998300336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.87500002025627,0.0,199.87500002025627
2021-12-17 00:06:48+01:00,0.0,82.49999998952262,19.87500001268927,0.0,97.24999996251427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.62499996472616,0.0,199.62499996472616
2021-12-17 00:06:56+01:00,0.0,82.74999997229315,20.00000001862645,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.3749999566935,0.0,200.3749999566935
2021-12-17 00:07:04+01:00,0.0,82.62500001001172,20.00000001862645,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.24999999441206,0.0,200.24999999441206
2021-12-17 00:07:12+01:00,0.0,54.12499999511056,20.000000011350494,0.0,69.3749999627471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.49999996920815,0.0,143.49999996920815
2021-12-17 00:07:20+01:00,0.0,82.62499998090789,20.00000001862645,0.0,97.37499998300336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9999999825377,0.0,199.9999999825377
2021-12-17 00:07:28+01:00,0.0,82.87499996367842,19.87500001268927,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499998311978,0.0,200.62499998311978
2021-12-17 00:07:36+01:00,0.0,82.75000000139698,20.00000001862645,0.0,97.99999999813735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.7500000181608,0.0,200.7500000181608
2021-12-17 00:07:44+01:00,0.0,82.62499998090789,20.00000001862645,0.0,97.62499999487773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.24999999441206,0.0,200.24999999441206
2021-12-17 00:07:52+01:00,0.0,54.74999998114072,20.00000001862645,0.0,70.00000000698492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.7500000067521,0.0,144.7500000067521
2021-12-17 00:08:00+01:00,0.0,82.62499998090789,19.87500001268927,0.0,97.62499993667006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499993026722,0.0,200.12499993026722
2021-12-17 00:08:08+01:00,0.0,82.50000001862645,20.00000001862645,0.0,97.4999999452848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9999999825377,0.0,199.9999999825377
2021-12-17 00:08:16+01:00,0.0,82.62500001001172,19.87500001268927,0.0,97.62499993667006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499995937105,0.0,200.12499995937105
2021-12-17 00:08:24+01:00,0.0,81.74999998300336,20.125000017287675,0.0,97.00000000884756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.8750000091386,0.0,198.8750000091386
2021-12-17 00:08:32+01:00,0.0,54.875000001629815,20.00000001862645,0.0,69.99999991967343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.8749999399297,0.0,144.8749999399297
