,Main,Main-,PV-,PV,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,358.0000000074506,0.0,0.0,9.99999999839929,368.00000000584987,9.99999999839929,358.0000000074506
2021-12-16 22:16:24+01:00,360.0000001024455,0.0,0.0,9.99999999839929,370.0000001008448,9.99999999839929,360.0000001024455
2021-12-16 22:16:32+01:00,358.0000000074506,0.0,0.0,8.999999998195563,367.00000000564614,8.999999998195563,358.0000000074506
2021-12-16 22:16:40+01:00,358.0000000074506,0.0,0.0,9.99999999839929,368.00000000584987,9.99999999839929,358.0000000074506
2021-12-16 22:16:48+01:00,358.9999999385327,0.0,0.0,8.999999998195563,367.9999999367283,8.999999998195563,358.9999999385327
2021-12-16 22:16:56+01:00,360.0000001024455,0.0,0.0,9.99999999839929,370.0000001008448,9.99999999839929,360.0000001024455
2021-12-16 22:17:04+01:00,358.9999999385327,0.0,0.0,8.999999998195563,367.9999999367283,8.999999998195563,358.9999999385327
2021-12-16 22:17:12+01:00,358.0000000074506,0.0,0.0,9.99999999839929,368.00000000584987,9.99999999839929,358.0000000074506
2021-12-16 22:17:20+01:00,358.0000000074506,0.0,0.0,8.999999998195563,367.00000000564614,8.999999998195563,358.0000000074506
2021-12-16 22:17:28+01:00,358.0000000074506,0.0,0.0,9.99999999839929,368.00000000584987,9.99999999839929,358.0000000074506
2021-12-16 22:17:36+01:00,357.00000007636845,0.0,0.0,8.999999998195563,366.000000074564,8.999999998195563,357.00000007636845
2021-12-16 22:17:44+01:00,355.9999999124557,0.0,0.0,9.99999999839929,365.99999991085497,9.99999999839929,355.9999999124557
2021-12-16 22:17:52+01:00,354.0000000502914,0.0,0.0,8.999999998195563,363.000000048487,8.999999998195563,354.0000000502914
2021-12-16 22:18:00+01:00,357.00000007636845,0.0,0.0,9.99999999839929,367.00000007476774,9.99999999839929,357.00000007636845
2021-12-16 22:18:08+01:00,1030.0000000279397,0.0,0.0,9.99999999839929,1040.000000026339,9.99999999839929,1030.0000000279397
2021-12-16 22:18:16+01:00,4870.000000111759,0.0,0.0,10.999999998603016,4881.000000110362,10.999999998603016,4870.000000111759
2021-12-16 22:18:24+01:00,4851.000000024214,0.0,0.0,8.999999998195563,4860.00000002241,8.999999998195563,4851.000000024214
2021-12-16 22:18:32+01:00,4833.000000100583,0.0,0.0,8.999999998195563,4842.000000098778,8.999999998195563,4833.000000100583
2021-12-16 22:18:40+01:00,4709.999999962747,0.0,0.0,9.99999999839929,4719.999999961146,9.99999999839929,4709.999999962747
2021-12-16 22:18:48+01:00,4696.999999927357,0.0,0.0,8.999999998195563,4705.999999925552,8.999999998195563,4696.999999927357
2021-12-16 22:18:56+01:00,4692.999999970198,0.0,0.0,8.999999998195563,4701.999999968393,8.999999998195563,4692.999999970198
2021-12-16 22:19:04+01:00,4692.000000039116,0.0,0.0,8.999999998195563,4701.000000037311,8.999999998195563,4692.000000039116
2021-12-16 22:19:12+01:00,4693.99999990128,0.0,0.0,8.999999998195563,4702.999999899475,8.999999998195563,4693.99999990128
2021-12-16 22:19:20+01:00,4686.999999918044,0.0,0.0,8.999999998195563,4695.999999916239,8.999999998195563,4686.999999918044
2021-12-16 22:19:28+01:00,4685.9999999869615,0.0,0.0,8.999999998195563,4694.999999985157,8.999999998195563,4685.9999999869615
2021-12-16 22:19:36+01:00,4686.999999918044,0.0,0.0,9.99999999839929,4696.999999916443,9.99999999839929,4686.999999918044
2021-12-16 22:19:44+01:00,4691.000000108033,0.0,0.0,8.000000001629815,4699.000000109663,8.000000001629815,4691.000000108033
2021-12-16 22:19:52+01:00,4699.000000022352,0.0,0.0,8.999999998195563,4708.000000020547,8.999999998195563,4699.000000022352
2021-12-16 22:20:00+01:00,4703.999999910593,0.0,0.0,9.99999999839929,4713.999999908992,9.99999999839929,4703.999999910593
2021-12-16 22:20:08+01:00,4693.99999990128,0.0,0.0,8.999999998195563,4702.999999899475,8.999999998195563,4693.99999990128
2021-12-16 22:20:16+01:00,4424.000000115484,0.0,0.0,9.99999999839929,4434.000000113883,9.99999999839929,4424.000000115484
2021-12-16 22:20:24+01:00,200.999999884516,0.0,0.0,8.999999998195563,209.99999988271156,8.999999998195563,200.999999884516
2021-12-16 22:20:32+01:00,199.99999995343387,0.0,0.0,9.99999999839929,209.99999995183316,9.99999999839929,199.99999995343387
2021-12-16 22:20:40+01:00,200.999999884516,0.0,0.0,8.999999998195563,209.99999988271156,8.999999998195563,200.999999884516
2021-12-16 22:20:48+01:00,202.00000004842877,0.0,0.0,9.99999999839929,212.00000004682806,9.99999999839929,202.00000004842877
2021-12-16 22:20:56+01:00,199.99999995343387,0.0,0.0,8.999999998195563,208.99999995162943,8.999999998195563,199.99999995343387
2021-12-16 22:21:04+01:00,199.99999995343387,0.0,0.0,9.99999999839929,209.99999995183316,9.99999999839929,199.99999995343387
2021-12-16 22:21:12+01:00,200.999999884516,0.0,0.0,9.99999999839929,210.9999998829153,9.99999999839929,200.999999884516
2021-12-16 22:21:20+01:00,200.999999884516,0.0,0.0,8.999999998195563,209.99999988271156,8.999999998195563,200.999999884516
2021-12-16 22:21:28+01:00,195.9999999962747,0.0,0.0,8.999999998195563,204.99999999447027,8.999999998195563,195.9999999962747
2021-12-16 22:21:36+01:00,200.999999884516,0.0,0.0,9.99999999839929,210.9999998829153,9.99999999839929,200.999999884516
2021-12-16 22:21:44+01:00,199.99999995343387,0.0,0.0,9.99999999839929,209.99999995183316,9.99999999839929,199.99999995343387
2021-12-16 22:21:52+01:00,199.99999995343387,0.0,0.0,8.999999998195563,208.99999995162943,8.999999998195563,199.99999995343387
2021-12-16 22:22:00+01:00,195.9999999962747,0.0,0.0,8.999999998195563,204.99999999447027,8.999999998195563,195.9999999962747
2021-12-16 22:22:08+01:00,199.00000002235174,0.0,0.0,9.99999999839929,209.00000002075103,9.99999999839929,199.00000002235174
2021-12-16 22:22:16+01:00,202.9999999795109,0.0,0.0,9.99999999839929,212.9999999779102,9.99999999839929,202.9999999795109
2021-12-16 22:22:24+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:22:32+01:00,198.0000000912696,0.0,0.0,8.999999998195563,207.00000008946517,8.999999998195563,198.0000000912696
2021-12-16 22:22:40+01:00,196.99999992735684,0.0,0.0,9.99999999839929,206.99999992575613,9.99999999839929,196.99999992735684
2021-12-16 22:22:48+01:00,206.99999993667006,0.0,0.0,9.99999999839929,216.99999993506935,9.99999999839929,206.99999993667006
2021-12-16 22:22:56+01:00,200.999999884516,0.0,0.0,9.99999999839929,210.9999998829153,9.99999999839929,200.999999884516
2021-12-16 22:23:04+01:00,199.99999995343387,0.0,0.0,8.999999998195563,208.99999995162943,8.999999998195563,199.99999995343387
2021-12-16 22:23:12+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:23:20+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:23:28+01:00,199.00000002235174,0.0,0.0,9.99999999839929,209.00000002075103,9.99999999839929,199.00000002235174
2021-12-16 22:23:36+01:00,200.999999884516,0.0,0.0,8.999999998195563,209.99999988271156,8.999999998195563,200.999999884516
2021-12-16 22:23:44+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:23:52+01:00,199.99999995343387,0.0,0.0,9.99999999839929,209.99999995183316,9.99999999839929,199.99999995343387
2021-12-16 22:24:00+01:00,198.0000000912696,0.0,0.0,8.999999998195563,207.00000008946517,8.999999998195563,198.0000000912696
2021-12-16 22:24:08+01:00,199.00000002235174,0.0,0.0,9.99999999839929,209.00000002075103,9.99999999839929,199.00000002235174
2021-12-16 22:24:16+01:00,199.00000002235174,0.0,1.0000001639127731,8.999999998195563,206.99999985663453,7.999999834282789,199.00000002235174
2021-12-16 22:24:24+01:00,199.00000002235174,0.0,0.0,8.999999998195563,208.0000000205473,8.999999998195563,199.00000002235174
2021-12-16 22:24:32+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:24:40+01:00,193.9999999012798,0.0,0.0,8.999999998195563,202.99999989947537,8.999999998195563,193.9999999012798
2021-12-16 22:24:48+01:00,199.99999995343387,0.0,0.0,9.99999999839929,209.99999995183316,9.99999999839929,199.99999995343387
2021-12-16 22:24:56+01:00,199.00000002235174,0.0,0.0,8.999999998195563,208.0000000205473,8.999999998195563,199.00000002235174
2021-12-16 22:25:04+01:00,200.999999884516,0.0,0.0,9.99999999839929,210.9999998829153,9.99999999839929,200.999999884516
2021-12-16 22:25:12+01:00,199.00000002235174,0.0,0.0,8.999999998195563,208.0000000205473,8.999999998195563,199.00000002235174
2021-12-16 22:25:20+01:00,199.00000002235174,0.0,0.0,9.99999999839929,209.00000002075103,9.99999999839929,199.00000002235174
2021-12-16 22:25:28+01:00,198.0000000912696,0.0,0.0,9.99999999839929,208.0000000896689,9.99999999839929,198.0000000912696
2021-12-16 22:25:36+01:00,915.0000000372529,0.0,0.0,8.999999998195563,924.0000000354485,8.999999998195563,915.0000000372529
2021-12-16 22:25:44+01:00,489.9999999906868,0.0,0.0,9.99999999839929,499.99999998908606,9.99999999839929,489.9999999906868
