,Mains phase 1-,Mains phase 1,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:16:24+01:00,0.0,255.0000000046566,255.0000000046566,0.0,255.0000000046566
2021-12-16 22:16:32+01:00,0.0,253.99999995715916,253.99999995715916,0.0,253.99999995715916
2021-12-16 22:16:40+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:16:48+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:16:56+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:17:04+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:17:12+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:17:20+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:17:28+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:17:36+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:17:44+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:17:52+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:18:00+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:18:08+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:18:16+01:00,0.0,253.99999995715916,253.99999995715916,0.0,253.99999995715916
2021-12-16 22:18:24+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:18:32+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:18:40+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:18:48+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:18:56+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:19:04+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:19:12+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:19:20+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:19:28+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:19:36+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:19:44+01:00,0.0,251.99999997857958,251.99999997857958,0.0,251.99999997857958
2021-12-16 22:19:52+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:20:00+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:20:08+01:00,0.0,253.00000002607703,253.00000002607703,0.0,253.00000002607703
2021-12-16 22:20:16+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:20:24+01:00,0.0,251.00000004749745,251.00000004749745,0.0,251.00000004749745
2021-12-16 22:20:32+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:20:40+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:20:48+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:20:56+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:21:04+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:21:12+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:21:20+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:21:28+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:21:36+01:00,0.0,250.0,250.0,0.0,250.0
2021-12-16 22:21:44+01:00,0.0,248.00000002142042,248.00000002142042,0.0,248.00000002142042
2021-12-16 22:21:52+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:22:00+01:00,0.0,248.00000002142042,248.00000002142042,0.0,248.00000002142042
2021-12-16 22:22:08+01:00,0.0,248.00000002142042,248.00000002142042,0.0,248.00000002142042
2021-12-16 22:22:16+01:00,0.0,248.00000002142042,248.00000002142042,0.0,248.00000002142042
2021-12-16 22:22:24+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:22:32+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:22:40+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:22:48+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:22:56+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:23:04+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:23:12+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:23:20+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:23:28+01:00,0.0,248.00000002142042,248.00000002142042,0.0,248.00000002142042
2021-12-16 22:23:36+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:23:44+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:23:52+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:24:00+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:24:08+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:24:16+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:24:24+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:24:32+01:00,0.0,248.99999995250255,248.99999995250255,0.0,248.99999995250255
2021-12-16 22:24:40+01:00,0.0,246.99999997392297,246.99999997392297,0.0,246.99999997392297
2021-12-16 22:24:48+01:00,0.0,244.9999999953434,244.9999999953434,0.0,244.9999999953434
2021-12-16 22:24:56+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:25:04+01:00,0.0,244.9999999953434,244.9999999953434,0.0,244.9999999953434
2021-12-16 22:25:12+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:25:20+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:25:28+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:25:36+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:25:44+01:00,0.0,244.9999999953434,244.9999999953434,0.0,244.9999999953434
2021-12-16 22:25:52+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:26:00+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:26:08+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:26:16+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:26:24+01:00,0.0,244.9999999953434,244.9999999953434,0.0,244.9999999953434
2021-12-16 22:26:32+01:00,0.0,246.00000004284084,246.00000004284084,0.0,246.00000004284084
2021-12-16 22:26:40+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:26:48+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:26:56+01:00,0.0,243.99999994784594,243.99999994784594,0.0,243.99999994784594
2021-12-16 22:27:04+01:00,0.0,263.00000003539026,263.00000003539026,0.0,263.00000003539026
2021-12-16 22:27:12+01:00,0.0,261.9999999878928,261.9999999878928,0.0,261.9999999878928
2021-12-16 22:27:20+01:00,0.0,261.9999999878928,261.9999999878928,0.0,261.9999999878928
2021-12-16 22:27:28+01:00,0.0,263.00000003539026,263.00000003539026,0.0,263.00000003539026
2021-12-16 22:27:36+01:00,0.0,263.00000003539026,263.00000003539026,0.0,263.00000003539026
2021-12-16 22:27:44+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:27:52+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:00+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:08+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:16+01:00,0.0,260.0000000093132,260.0000000093132,0.0,260.0000000093132
2021-12-16 22:28:24+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:32+01:00,0.0,261.9999999878928,261.9999999878928,0.0,261.9999999878928
2021-12-16 22:28:40+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:48+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:28:56+01:00,0.0,260.0000000093132,260.0000000093132,0.0,260.0000000093132
2021-12-16 22:29:04+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:29:12+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:29:20+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:29:28+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:29:36+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:29:44+01:00,0.0,260.0000000093132,260.0000000093132,0.0,260.0000000093132
2021-12-16 22:29:52+01:00,0.0,258.9999999618158,258.9999999618158,0.0,258.9999999618158
2021-12-16 22:30:00+01:00,0.0,260.0000000093132,260.0000000093132,0.0,260.0000000093132
2021-12-16 22:30:08+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:30:16+01:00,0.0,258.00000003073364,258.00000003073364,0.0,258.00000003073364
2021-12-16 22:30:24+01:00,0.0,258.9999999618158,258.9999999618158,0.0,258.9999999618158
2021-12-16 22:30:32+01:00,0.0,261.0000000568107,261.0000000568107,0.0,261.0000000568107
2021-12-16 22:30:40+01:00,0.0,260.000002104789,260.000002104789,0.0,260.000002104789
2021-12-16 22:30:48+01:00,0.0,260.0000000093132,260.0000000093132,0.0,260.0000000093132
