,Main,Main-,PV,PV-,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,381.9999999832362,0.0,1.9999999999527063,0.0,383.9999999831889,1.9999999999527063,381.9999999832362
2021-12-16 22:16:24+01:00,368.99999994784594,0.0,1.0000000002037268,0.0,369.99999994804966,1.0000000002037268,368.99999994784594
2021-12-16 22:16:32+01:00,354.0000000502914,0.0,1.0000000002037268,0.0,355.00000005049515,1.0000000002037268,354.0000000502914
2021-12-16 22:16:40+01:00,348.9999999292195,0.0,1.0000000002037268,0.0,349.9999999294232,1.0000000002037268,348.9999999292195
2021-12-16 22:16:48+01:00,354.0000000502914,0.0,1.0000000002037268,0.0,355.00000005049515,1.0000000002037268,354.0000000502914
2021-12-16 22:16:56+01:00,355.9999999124557,0.0,1.0000000002037268,0.0,356.9999999126594,1.0000000002037268,355.9999999124557
2021-12-16 22:17:04+01:00,351.9999999552965,0.0,1.9999999999527063,0.0,353.9999999552492,1.9999999999527063,351.9999999552965
2021-12-16 22:17:12+01:00,355.9999999124557,0.0,1.0000000002037268,0.0,356.9999999126594,1.0000000002037268,355.9999999124557
2021-12-16 22:17:20+01:00,351.9999999552965,0.0,1.0000000002037268,0.0,352.99999995550024,1.0000000002037268,351.9999999552965
2021-12-16 22:17:28+01:00,354.0000000502914,0.0,1.9999999999527063,0.0,356.0000000502441,1.9999999999527063,354.0000000502914
2021-12-16 22:17:36+01:00,351.0000000242144,0.0,1.0000000002037268,0.0,352.0000000244181,1.0000000002037268,351.0000000242144
2021-12-16 22:17:44+01:00,358.0000000074506,0.0,1.0000000002037268,0.0,359.0000000076543,1.0000000002037268,358.0000000074506
2021-12-16 22:17:52+01:00,351.0000000242144,0.0,1.0000000002037268,0.0,352.0000000244181,1.0000000002037268,351.0000000242144
2021-12-16 22:18:00+01:00,354.0000000502914,0.0,1.9999999999527063,0.0,356.0000000502441,1.9999999999527063,354.0000000502914
2021-12-16 22:18:08+01:00,354.99999998137355,0.0,1.0000000002037268,0.0,355.9999999815773,1.0000000002037268,354.99999998137355
2021-12-16 22:18:16+01:00,347.0000000670552,0.0,1.0000000002037268,0.0,348.00000006725895,1.0000000002037268,347.0000000670552
2021-12-16 22:18:24+01:00,317.00000003911555,0.0,1.0000000002037268,0.0,318.0000000393193,1.0000000002037268,317.00000003911555
2021-12-16 22:18:32+01:00,313.0000000819564,0.0,1.0000000002037268,0.0,314.0000000821601,1.0000000002037268,313.0000000819564
2021-12-16 22:18:40+01:00,313.0000000819564,0.0,1.9999999999527063,0.0,315.0000000819091,1.9999999999527063,313.0000000819564
2021-12-16 22:18:48+01:00,314.0000000130385,0.0,1.0000000002037268,0.0,315.00000001324224,1.0000000002037268,314.0000000130385
2021-12-16 22:18:56+01:00,310.9999999869615,0.0,1.0000000002037268,0.0,311.9999999871652,1.0000000002037268,310.9999999869615
2021-12-16 22:19:04+01:00,314.0000000130385,0.0,1.9999999999527063,0.0,316.0000000129912,1.9999999999527063,314.0000000130385
2021-12-16 22:19:12+01:00,330.0000000745058,0.0,1.0000000002037268,0.0,331.00000007470953,1.0000000002037268,330.0000000745058
2021-12-16 22:19:20+01:00,327.9999999795109,0.0,1.0000000002037268,0.0,328.99999997971463,1.0000000002037268,327.9999999795109
2021-12-16 22:19:28+01:00,323.0000000912696,0.0,1.0000000002037268,0.0,324.00000009147334,1.0000000002037268,323.0000000912696
2021-12-16 22:19:36+01:00,325.999999884516,0.0,1.9999999999527063,0.0,327.9999998844687,1.9999999999527063,325.999999884516
2021-12-16 22:19:44+01:00,323.0000000912696,0.0,1.0000000002037268,0.0,324.00000009147334,1.0000000002037268,323.0000000912696
2021-12-16 22:19:52+01:00,307.0000000298023,0.0,1.0000000002037268,0.0,308.00000003000605,1.0000000002037268,307.0000000298023
2021-12-16 22:20:00+01:00,310.9999999869615,0.0,1.0000000002037268,0.0,311.9999999871652,1.0000000002037268,310.9999999869615
2021-12-16 22:20:08+01:00,303.00000007264316,0.0,1.9999999999527063,0.0,305.00000007259587,1.9999999999527063,303.00000007264316
2021-12-16 22:20:16+01:00,303.00000007264316,0.0,1.0000000002037268,0.0,304.0000000728469,1.0000000002037268,303.00000007264316
2021-12-16 22:20:24+01:00,291.99999989941716,0.0,1.0000000002037268,0.0,292.9999998996209,1.0000000002037268,291.99999989941716
2021-12-16 22:20:32+01:00,300.99999997764826,0.0,1.0000000002037268,0.0,301.999999977852,1.0000000002037268,300.99999997764826
2021-12-16 22:20:40+01:00,293.99999999441206,0.0,1.0000000002037268,0.0,294.9999999946158,1.0000000002037268,293.99999999441206
2021-12-16 22:20:48+01:00,296.00000008940697,0.0,1.9999999999527063,0.0,298.0000000893597,1.9999999999527063,296.00000008940697
2021-12-16 22:20:56+01:00,294.9999999254942,0.0,1.0000000002037268,0.0,295.9999999256979,1.0000000002037268,294.9999999254942
2021-12-16 22:21:04+01:00,3425.9999999776483,0.0,1.0000000002037268,0.0,3426.999999977852,1.0000000002037268,3425.9999999776483
2021-12-16 22:21:12+01:00,4654.000000096858,0.0,1.9999999999527063,0.0,4656.00000009681,1.9999999999527063,4654.000000096858
2021-12-16 22:21:20+01:00,4638.999999966472,0.0,1.0000000002037268,0.0,4639.999999966676,1.0000000002037268,4638.999999966472
2021-12-16 22:21:28+01:00,4629.999999888241,0.0,1.9999999999527063,0.0,4631.999999888194,1.9999999999527063,4629.999999888241
2021-12-16 22:21:36+01:00,4627.000000094995,0.0,1.0000000002037268,0.0,4628.000000095199,1.0000000002037268,4627.000000094995
2021-12-16 22:21:44+01:00,4614.999999990687,0.0,1.0000000002037268,0.0,4615.9999999908905,1.0000000002037268,4614.999999990687
2021-12-16 22:21:52+01:00,4608.999999938533,0.0,1.9999999999527063,0.0,4610.999999938485,1.9999999999527063,4608.999999938533
2021-12-16 22:22:00+01:00,4614.999999990687,0.0,1.0000000002037268,0.0,4615.9999999908905,1.0000000002037268,4614.999999990687
2021-12-16 22:22:08+01:00,4617.000000085682,0.0,1.9999999999527063,0.0,4619.000000085634,1.9999999999527063,4617.000000085682
2021-12-16 22:22:16+01:00,4614.000000059605,0.0,1.0000000002037268,0.0,4615.000000059808,1.0000000002037268,4614.000000059605
2021-12-16 22:22:24+01:00,4614.000000059605,0.0,1.9999999999527063,0.0,4616.000000059557,1.9999999999527063,4614.000000059605
2021-12-16 22:22:32+01:00,4614.000000059605,0.0,1.9999999999527063,0.0,4616.000000059557,1.9999999999527063,4614.000000059605
2021-12-16 22:22:40+01:00,4614.999999990687,0.0,1.0000000002037268,0.0,4615.9999999908905,1.0000000002037268,4614.999999990687
2021-12-16 22:22:48+01:00,4611.99999996461,0.0,1.9999999999527063,0.0,4613.999999964562,1.9999999999527063,4611.99999996461
2021-12-16 22:22:56+01:00,4615.999999921769,0.0,1.0000000002037268,0.0,4616.999999921973,1.0000000002037268,4615.999999921769
2021-12-16 22:23:04+01:00,4614.000000059605,0.0,1.9999999999527063,0.0,4616.000000059557,1.9999999999527063,4614.000000059605
2021-12-16 22:23:12+01:00,4612.999999895692,0.0,1.0000000002037268,0.0,4613.999999895896,1.0000000002037268,4612.999999895692
2021-12-16 22:23:20+01:00,4611.99999996461,0.0,1.9999999999527063,0.0,4613.999999964562,1.9999999999527063,4611.99999996461
2021-12-16 22:23:28+01:00,4617.000000085682,0.0,1.0000000002037268,0.0,4618.000000085885,1.0000000002037268,4617.000000085682
2021-12-16 22:23:36+01:00,4614.999999990687,0.0,1.9999999999527063,0.0,4616.9999999906395,1.9999999999527063,4614.999999990687
2021-12-16 22:23:44+01:00,4611.99999996461,0.0,1.0000000002037268,0.0,4612.9999999648135,1.0000000002037268,4611.99999996461
2021-12-16 22:23:52+01:00,4601.9999999552965,0.0,1.9999999999527063,0.0,4603.999999955249,1.9999999999527063,4601.9999999552965
2021-12-16 22:24:00+01:00,4604.000000050291,0.0,1.0000000002037268,0.0,4605.000000050495,1.0000000002037268,4604.000000050291
2021-12-16 22:24:08+01:00,4602.999999886379,0.0,1.0000000002037268,0.0,4603.999999886582,1.0000000002037268,4602.999999886379
2021-12-16 22:24:16+01:00,4597.999999998137,0.0,1.9999999999527063,0.0,4599.99999999809,1.9999999999527063,4597.999999998137
2021-12-16 22:24:24+01:00,4601.000000024214,0.0,1.0000000002037268,0.0,4602.000000024418,1.0000000002037268,4601.000000024214
2021-12-16 22:24:32+01:00,4598.9999999292195,0.0,1.9999999999527063,0.0,4600.999999929172,1.9999999999527063,4598.9999999292195
2021-12-16 22:24:40+01:00,4595.999999903142,0.0,1.0000000002037268,0.0,4596.999999903346,1.0000000002037268,4595.999999903142
2021-12-16 22:24:48+01:00,4597.000000067055,0.0,1.9999999999527063,0.0,4599.000000067008,1.9999999999527063,4597.000000067055
2021-12-16 22:24:56+01:00,4588.999999919906,0.0,1.0000000002037268,0.0,4589.99999992011,1.0000000002037268,4588.999999919906
2021-12-16 22:25:04+01:00,4594.000000040978,0.0,1.0000000002037268,0.0,4595.000000041182,1.0000000002037268,4594.000000040978
2021-12-16 22:25:12+01:00,4600.000000093132,0.0,1.9999999999527063,0.0,4602.000000093085,1.9999999999527063,4600.000000093132
2021-12-16 22:25:20+01:00,4590.000000083819,0.0,1.0000000002037268,0.0,4591.000000084023,1.0000000002037268,4590.000000083819
2021-12-16 22:25:28+01:00,4597.999999998137,0.0,1.9999999999527063,0.0,4599.99999999809,1.9999999999527063,4597.999999998137
2021-12-16 22:25:36+01:00,4604.000000050291,0.0,1.0000000002037268,0.0,4605.000000050495,1.0000000002037268,4604.000000050291
2021-12-16 22:25:44+01:00,4594.99999997206,0.0,1.9999999999527063,0.0,4596.999999972013,1.9999999999527063,4594.99999997206
2021-12-16 22:25:52+01:00,4591.999999945983,0.0,1.0000000002037268,0.0,4592.999999946187,1.0000000002037268,4591.999999945983
2021-12-16 22:26:00+01:00,4612.999999895692,0.0,1.0000000002037268,0.0,4613.999999895896,1.0000000002037268,4612.999999895692
2021-12-16 22:26:08+01:00,4608.999999938533,0.0,1.9999999999527063,0.0,4610.999999938485,1.9999999999527063,4608.999999938533
2021-12-16 22:26:16+01:00,4615.999999921769,0.0,1.0000000002037268,0.0,4616.999999921973,1.0000000002037268,4615.999999921769
2021-12-16 22:26:24+01:00,4621.000000042841,0.0,1.9999999999527063,0.0,4623.0000000427935,1.9999999999527063,4621.000000042841
2021-12-16 22:26:32+01:00,4621.999999973923,0.0,1.0000000002037268,0.0,4622.999999974127,1.0000000002037268,4621.999999973923
2021-12-16 22:26:40+01:00,4614.000000059605,0.0,1.9999999999527063,0.0,4616.000000059557,1.9999999999527063,4614.000000059605
2021-12-16 22:26:48+01:00,4611.000000033528,0.0,1.0000000002037268,0.0,4612.000000033731,1.0000000002037268,4611.000000033528
2021-12-16 22:26:56+01:00,4612.999999895692,0.0,1.9999999999527063,0.0,4614.999999895645,1.9999999999527063,4612.999999895692
2021-12-16 22:27:04+01:00,4614.000000059605,0.0,1.0000000002037268,0.0,4615.000000059808,1.0000000002037268,4614.000000059605
2021-12-16 22:27:12+01:00,4611.99999996461,0.0,1.9999999999527063,0.0,4613.999999964562,1.9999999999527063,4611.99999996461
2021-12-16 22:27:20+01:00,4597.000000067055,0.0,1.0000000002037268,0.0,4598.000000067259,1.0000000002037268,4597.000000067055
2021-12-16 22:27:28+01:00,4604.000000050291,0.0,1.9999999999527063,0.0,4606.000000050244,1.9999999999527063,4604.000000050291
2021-12-16 22:27:36+01:00,4605.999999912456,0.0,1.0000000002037268,0.0,4606.999999912659,1.0000000002037268,4605.999999912456
2021-12-16 22:27:44+01:00,4608.999999938533,0.0,1.0000000002037268,0.0,4609.999999938736,1.0000000002037268,4608.999999938533
2021-12-16 22:27:52+01:00,4607.000000076368,0.0,1.9999999999527063,0.0,4609.000000076321,1.9999999999527063,4607.000000076368
