,Main,Main-,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,390.00000001396984,0.0,0.0,390.00000001396984,390.00000001396984
2021-12-16 22:16:24+01:00,383.00000003073364,0.0,0.0,383.00000003073364,383.00000003073364
2021-12-16 22:16:32+01:00,368.0000000167638,0.0,0.0,368.0000000167638,368.0000000167638
2021-12-16 22:16:40+01:00,359.99999998603016,0.0,0.0,359.99999998603016,359.99999998603016
2021-12-16 22:16:48+01:00,361.0000000335276,0.0,0.0,361.0000000335276,361.0000000335276
2021-12-16 22:16:56+01:00,356.99999995995313,0.0,0.0,356.99999995995313,356.99999995995313
2021-12-16 22:17:04+01:00,359.00000005494803,0.0,0.0,359.00000005494803,359.00000005494803
2021-12-16 22:17:12+01:00,375.0,0.0,0.0,375.0,375.0
2021-12-16 22:17:20+01:00,413.99999998975545,0.0,0.0,413.99999998975545,413.99999998975545
2021-12-16 22:17:28+01:00,395.00000001862645,0.0,0.0,395.00000001862645,395.00000001862645
2021-12-16 22:17:36+01:00,393.00000004004687,0.0,0.0,393.00000004004687,393.00000004004687
2021-12-16 22:17:44+01:00,373.0000000214204,0.0,0.0,373.0000000214204,373.0000000214204
2021-12-16 22:17:52+01:00,366.99999996926636,0.0,0.0,366.99999996926636,366.99999996926636
2021-12-16 22:18:00+01:00,359.00000005494803,0.0,0.0,359.00000005494803,359.00000005494803
2021-12-16 22:18:08+01:00,363.9999999431893,0.0,0.0,363.9999999431893,363.9999999431893
2021-12-16 22:18:16+01:00,381.00000005215406,0.0,0.0,381.00000005215406,381.00000005215406
2021-12-16 22:18:24+01:00,393.00000004004687,0.0,0.0,393.00000004004687,393.00000004004687
2021-12-16 22:18:32+01:00,386.9999999878928,0.0,0.0,386.9999999878928,386.9999999878928
2021-12-16 22:18:40+01:00,398.0000000447035,0.0,0.0,398.0000000447035,398.0000000447035
2021-12-16 22:18:48+01:00,395.9999999497086,0.0,0.0,395.9999999497086,395.9999999497086
2021-12-16 22:18:56+01:00,390.00000001396984,0.0,0.0,390.00000001396984,390.00000001396984
2021-12-16 22:19:04+01:00,393.999999971129,0.0,0.0,393.999999971129,393.999999971129
2021-12-16 22:19:12+01:00,393.00000004004687,0.0,0.0,393.00000004004687,393.00000004004687
2021-12-16 22:19:20+01:00,366.0000000381842,0.0,0.0,366.0000000381842,366.0000000381842
2021-12-16 22:19:28+01:00,354.99999998137355,0.0,0.0,354.99999998137355,354.99999998137355
2021-12-16 22:19:36+01:00,356.000000028871,0.0,0.0,356.000000028871,356.000000028871
2021-12-16 22:19:44+01:00,388.00000003539026,0.0,0.0,388.00000003539026,388.00000003539026
2021-12-16 22:19:52+01:00,383.9999999618158,0.0,0.0,383.9999999618158,383.9999999618158
2021-12-16 22:20:00+01:00,373.99999995250255,0.0,0.0,373.99999995250255,373.99999995250255
2021-12-16 22:20:08+01:00,383.00000003073364,0.0,0.0,383.00000003073364,383.00000003073364
2021-12-16 22:20:16+01:00,584.9999999627471,0.0,0.0,584.9999999627471,584.9999999627471
2021-12-16 22:20:24+01:00,721.0000000195578,0.0,0.0,721.0000000195578,721.0000000195578
2021-12-16 22:20:32+01:00,719.9999999720603,0.0,0.0,719.9999999720603,719.9999999720603
2021-12-16 22:20:40+01:00,724.0000000456348,0.0,0.0,724.0000000456348,724.0000000456348
2021-12-16 22:20:48+01:00,726.9999999552965,0.0,0.0,726.9999999552965,726.9999999552965
2021-12-16 22:20:56+01:00,714.9999999674037,0.0,0.0,714.9999999674037,714.9999999674037
2021-12-16 22:21:04+01:00,712.9999999888241,0.0,0.0,712.9999999888241,712.9999999888241
