,Phase L1,Phase L1-,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,582.9999999841675,0.0,582.9999999841675,0.0,582.9999999841675
2021-12-16 22:16:24+01:00,570.9999999962747,0.0,570.9999999962747,0.0,570.9999999962747
2021-12-16 22:16:32+01:00,569.0000000176951,0.0,569.0000000176951,0.0,569.0000000176951
2021-12-16 22:16:40+01:00,589.9999999674037,0.0,589.9999999674037,0.0,589.9999999674037
2021-12-16 22:16:48+01:00,604.9999999813735,0.0,604.9999999813735,0.0,604.9999999813735
2021-12-16 22:16:56+01:00,601.9999999552965,0.0,601.9999999552965,0.0,601.9999999552965
2021-12-16 22:17:04+01:00,606.000000028871,0.0,606.000000028871,0.0,606.000000028871
2021-12-16 22:17:12+01:00,606.000000028871,0.0,606.000000028871,0.0,606.000000028871
2021-12-16 22:17:20+01:00,604.9999999813735,0.0,604.9999999813735,0.0,604.9999999813735
2021-12-16 22:17:28+01:00,604.9999999813735,0.0,604.9999999813735,0.0,604.9999999813735
2021-12-16 22:17:36+01:00,574.0000000223517,0.0,574.0000000223517,0.0,574.0000000223517
2021-12-16 22:17:44+01:00,667.9999999469146,0.0,667.9999999469146,0.0,667.9999999469146
2021-12-16 22:17:52+01:00,689.0000000130385,0.0,689.0000000130385,0.0,689.0000000130385
2021-12-16 22:18:00+01:00,660.9999999636784,0.0,660.9999999636784,0.0,660.9999999636784
2021-12-16 22:18:08+01:00,650.9999999543652,0.0,650.9999999543652,0.0,650.9999999543652
2021-12-16 22:18:16+01:00,619.9999999953434,0.0,619.9999999953434,0.0,619.9999999953434
2021-12-16 22:18:24+01:00,626.9999999785796,0.0,626.9999999785796,0.0,626.9999999785796
2021-12-16 22:18:32+01:00,633.0000000307336,0.0,633.0000000307336,0.0,633.0000000307336
2021-12-16 22:18:40+01:00,653.9999999804422,0.0,653.9999999804422,0.0,653.9999999804422
2021-12-16 22:18:48+01:00,648.0000000447035,0.0,648.0000000447035,0.0,648.0000000447035
2021-12-16 22:18:56+01:00,636.0000000568107,0.0,636.0000000568107,0.0,636.0000000568107
2021-12-16 22:19:04+01:00,636.0000000568107,0.0,636.0000000568107,0.0,636.0000000568107
2021-12-16 22:19:12+01:00,636.0000000568107,0.0,636.0000000568107,0.0,636.0000000568107
2021-12-16 22:19:20+01:00,640.0000000139698,0.0,640.0000000139698,0.0,640.0000000139698
2021-12-16 22:19:28+01:00,660.9999999636784,0.0,660.9999999636784,0.0,660.9999999636784
2021-12-16 22:19:36+01:00,658.0000000540167,0.0,658.0000000540167,0.0,658.0000000540167
2021-12-16 22:19:44+01:00,662.999999942258,0.0,662.999999942258,0.0,662.999999942258
2021-12-16 22:19:52+01:00,655.9999999590218,0.0,655.9999999590218,0.0,655.9999999590218
2021-12-16 22:20:00+01:00,650.0000000232831,0.0,650.0000000232831,0.0,650.0000000232831
2021-12-16 22:20:08+01:00,660.0000000325963,0.0,660.0000000325963,0.0,660.0000000325963
2021-12-16 22:20:16+01:00,655.9999999590218,0.0,655.9999999590218,0.0,655.9999999590218
2021-12-16 22:20:24+01:00,655.9999999590218,0.0,655.9999999590218,0.0,655.9999999590218
2021-12-16 22:20:32+01:00,660.9999999636784,0.0,660.9999999636784,0.0,660.9999999636784
2021-12-16 22:20:40+01:00,657.0000000065193,0.0,657.0000000065193,0.0,657.0000000065193
2021-12-16 22:20:48+01:00,682.0000000298023,0.0,682.0000000298023,0.0,682.0000000298023
2021-12-16 22:20:56+01:00,679.0000000037253,0.0,679.0000000037253,0.0,679.0000000037253
2021-12-16 22:21:04+01:00,682.0000000298023,0.0,682.0000000298023,0.0,682.0000000298023
2021-12-16 22:21:12+01:00,680.9999999823049,0.0,680.9999999823049,0.0,680.9999999823049
2021-12-16 22:21:20+01:00,680.0000000512227,0.0,680.0000000512227,0.0,680.0000000512227
2021-12-16 22:21:28+01:00,682.9999999608845,0.0,682.9999999608845,0.0,682.9999999608845
2021-12-16 22:21:36+01:00,677.0000000251457,0.0,677.0000000251457,0.0,677.0000000251457
2021-12-16 22:21:44+01:00,680.9999999823049,0.0,680.9999999823049,0.0,680.9999999823049
2021-12-16 22:21:52+01:00,680.0000000512227,0.0,680.0000000512227,0.0,680.0000000512227
2021-12-16 22:22:00+01:00,673.9999999990687,0.0,673.9999999990687,0.0,673.9999999990687
2021-12-16 22:22:08+01:00,677.9999999562278,0.0,677.9999999562278,0.0,677.9999999562278
2021-12-16 22:22:16+01:00,684.0000000083819,0.0,684.0000000083819,0.0,684.0000000083819
2021-12-16 22:22:24+01:00,677.9999999562278,0.0,677.9999999562278,0.0,677.9999999562278
2021-12-16 22:22:32+01:00,677.9999999562278,0.0,677.9999999562278,0.0,677.9999999562278
2021-12-16 22:22:40+01:00,690.9999999916181,0.0,690.9999999916181,0.0,690.9999999916181
2021-12-16 22:22:48+01:00,687.9999999655411,0.0,687.9999999655411,0.0,687.9999999655411
2021-12-16 22:22:56+01:00,680.9999999823049,0.0,680.9999999823049,0.0,680.9999999823049
2021-12-16 22:23:04+01:00,673.9999999990687,0.0,673.9999999990687,0.0,673.9999999990687
2021-12-16 22:23:12+01:00,677.0000000251457,0.0,677.0000000251457,0.0,677.0000000251457
2021-12-16 22:23:20+01:00,685.9999999869615,0.0,685.9999999869615,0.0,685.9999999869615
2021-12-16 22:23:28+01:00,682.0000000298023,0.0,682.0000000298023,0.0,682.0000000298023
2021-12-16 22:23:36+01:00,680.9999999823049,0.0,680.9999999823049,0.0,680.9999999823049
2021-12-16 22:23:44+01:00,685.0000000558794,0.0,685.0000000558794,0.0,685.0000000558794
2021-12-16 22:23:52+01:00,684.0000000083819,0.0,684.0000000083819,0.0,684.0000000083819
2021-12-16 22:24:00+01:00,685.9999999869615,0.0,685.9999999869615,0.0,685.9999999869615
2021-12-16 22:24:08+01:00,682.0000000298023,0.0,682.0000000298023,0.0,682.0000000298023
2021-12-16 22:24:16+01:00,653.0000000493601,0.0,653.0000000493601,0.0,653.0000000493601
2021-12-16 22:24:24+01:00,633.9999999618158,0.0,633.9999999618158,0.0,633.9999999618158
2021-12-16 22:24:32+01:00,630.0000000046566,0.0,630.0000000046566,0.0,630.0000000046566
2021-12-16 22:24:40+01:00,638.0000000353903,0.0,638.0000000353903,0.0,638.0000000353903
2021-12-16 22:24:48+01:00,608.0000000074506,0.0,608.0000000074506,0.0,608.0000000074506
2021-12-16 22:24:56+01:00,611.9999999646097,0.0,611.9999999646097,0.0,611.9999999646097
2021-12-16 22:25:04+01:00,613.0000000121072,0.0,613.0000000121072,0.0,613.0000000121072
2021-12-16 22:25:12+01:00,613.9999999431893,0.0,613.9999999431893,0.0,613.9999999431893
2021-12-16 22:25:20+01:00,611.0000000335276,0.0,611.0000000335276,0.0,611.0000000335276
2021-12-16 22:25:28+01:00,609.000000054948,0.0,609.000000054948,0.0,609.000000054948
2021-12-16 22:25:36+01:00,609.000000054948,0.0,609.000000054948,0.0,609.000000054948
2021-12-16 22:25:44+01:00,611.9999999646097,0.0,611.9999999646097,0.0,611.9999999646097
2021-12-16 22:25:52+01:00,611.9999999646097,0.0,611.9999999646097,0.0,611.9999999646097
2021-12-16 22:26:00+01:00,611.0000000335276,0.0,611.0000000335276,0.0,611.0000000335276
2021-12-16 22:26:08+01:00,609.000000054948,0.0,609.000000054948,0.0,609.000000054948
2021-12-16 22:26:16+01:00,597.9999999981374,0.0,597.9999999981374,0.0,597.9999999981374
2021-12-16 22:26:24+01:00,550.9999999776483,0.0,550.9999999776483,0.0,550.9999999776483
2021-12-16 22:26:32+01:00,543.9999999944121,0.0,543.9999999944121,0.0,543.9999999944121
2021-12-16 22:26:40+01:00,550.0000000465661,0.0,550.0000000465661,0.0,550.0000000465661
