,main black-,main black,main blue,main blue-,main red-,main red,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,227.00000001350418,309.0000000083819,0.0,0.0,41.00000000107684,577.0000000229629,0.0,577.0000000229629
2021-12-16 22:16:24+01:00,0.0,225.00000000582077,309.9999999976717,0.0,0.0,43.000000001484295,578.0000000049768,0.0,578.0000000049768
2021-12-16 22:16:32+01:00,0.0,201.9999999902211,306.0000000114087,0.0,0.0,62.999999998282874,570.9999999999127,0.0,570.9999999999127
2021-12-16 22:16:40+01:00,0.0,163.99999998975545,303.0000000144355,0.0,0.0,98.00000000177533,565.0000000059663,0.0,565.0000000059663
2021-12-16 22:16:48+01:00,0.0,163.99999998975545,304.0000000037253,0.0,0.0,98.99999999834108,566.9999999918218,0.0,566.9999999918218
2021-12-16 22:16:56+01:00,0.0,163.00000000046566,303.0000000144355,0.0,0.0,98.00000000177533,564.0000000166765,0.0,564.0000000166765
2021-12-16 22:17:04+01:00,0.0,160.99999999278225,301.0000000067521,0.0,0.0,98.99999999834108,560.9999999978754,0.0,560.9999999978754
2021-12-16 22:17:12+01:00,0.0,159.00000001420267,298.0000000097789,0.0,0.0,98.00000000177533,555.0000000257569,0.0,555.0000000257569
2021-12-16 22:17:20+01:00,0.0,157.99999999580905,298.0000000097789,0.0,0.0,98.00000000177533,554.0000000073633,0.0,554.0000000073633
2021-12-16 22:17:28+01:00,0.0,157.99999999580905,298.0000000097789,0.0,0.0,99.99999999854481,556.0000000041327,0.0,556.0000000041327
2021-12-16 22:17:36+01:00,0.0,155.99999998812564,296.0000000020955,0.0,0.0,98.00000000177533,549.9999999919964,0.0,549.9999999919964
2021-12-16 22:17:44+01:00,0.0,154.99999999883585,293.0000000051223,0.0,0.0,98.00000000177533,546.0000000057335,0.0,546.0000000057335
2021-12-16 22:17:52+01:00,0.0,154.99999999883585,295.0000000128057,0.0,0.0,98.99999999834108,549.0000000099826,0.0,549.0000000099826
2021-12-16 22:18:00+01:00,0.0,154.00000000954606,293.0000000051223,0.0,0.0,98.00000000177533,545.0000000164437,0.0,545.0000000164437
2021-12-16 22:18:08+01:00,0.0,157.00000000651926,298.9999999990687,0.0,0.0,101.99999999895226,558.0000000045402,0.0,558.0000000045402
2021-12-16 22:18:16+01:00,0.0,152.99999999115244,288.99999998975545,0.0,0.0,95.00000000116415,536.999999982072,0.0,536.999999982072
2021-12-16 22:18:24+01:00,0.0,152.00000000186265,296.0000000020955,0.0,0.0,101.99999999895226,550.0000000029104,0.0,550.0000000029104
2021-12-16 22:18:32+01:00,0.0,151.00000001257285,291.99999998672865,0.0,0.0,99.99999999854481,542.9999999978463,0.0,542.9999999978463
2021-12-16 22:18:40+01:00,0.0,151.00000001257285,291.99999998672865,0.0,0.0,99.99999999854481,542.9999999978463,0.0,542.9999999978463
2021-12-16 22:18:48+01:00,0.0,149.99999999417923,290.99999999743886,0.0,0.0,98.99999999834108,539.9999999899592,0.0,539.9999999899592
2021-12-16 22:18:56+01:00,0.0,149.99999999417923,290.0000000081491,0.0,0.0,99.99999999854481,540.0000000008731,0.0,540.0000000008731
2021-12-16 22:19:04+01:00,0.0,149.99999999417923,293.99999999441206,0.0,0.0,101.99999999895226,545.9999999875436,0.0,545.9999999875436
2021-12-16 22:19:12+01:00,0.0,149.00000000488944,293.0000000051223,0.0,0.0,101.99999999895226,544.000000008964,0.0,544.000000008964
2021-12-16 22:19:20+01:00,0.0,149.00000000488944,293.0000000051223,0.0,0.0,101.99999999895226,544.000000008964,0.0,544.000000008964
2021-12-16 22:19:28+01:00,0.0,147.99999998649582,290.0000000081491,0.0,0.0,99.99999999854481,537.9999999931897,0.0,537.9999999931897
2021-12-16 22:19:36+01:00,0.0,149.00000000488944,290.0000000081491,0.0,0.0,99.99999999854481,539.0000000115833,0.0,539.0000000115833
2021-12-16 22:19:44+01:00,0.0,147.99999998649582,288.00000000046566,0.0,0.0,98.99999999834108,534.9999999853026,0.0,534.9999999853026
2021-12-16 22:19:52+01:00,0.0,149.99999999417923,285.99999999278225,0.0,0.0,104.99999999956344,540.9999999865249,0.0,540.9999999865249
2021-12-16 22:20:00+01:00,0.0,149.99999999417923,277.99999999115244,0.0,0.0,120.99999999918509,548.9999999845168,0.0,548.9999999845168
2021-12-16 22:20:08+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,116.99999999837019,535.0000000034925,0.0,535.0000000034925
2021-12-16 22:20:16+01:00,0.0,147.99999998649582,271.99999999720603,0.0,0.0,117.99999999857391,537.9999999822758,0.0,537.9999999822758
2021-12-16 22:20:24+01:00,0.0,146.99999999720603,272.9999999864958,0.0,0.0,117.99999999857391,537.9999999822758,0.0,537.9999999822758
2021-12-16 22:20:32+01:00,0.0,147.99999998649582,271.99999999720603,0.0,0.0,117.99999999857391,537.9999999822758,0.0,537.9999999822758
2021-12-16 22:20:40+01:00,0.0,146.99999999720603,272.9999999864958,0.0,0.0,117.99999999857391,537.9999999822758,0.0,537.9999999822758
2021-12-16 22:20:48+01:00,0.0,146.99999999720603,271.99999999720603,0.0,0.0,117.99999999857391,536.999999992986,0.0,536.999999992986
2021-12-16 22:20:56+01:00,0.0,146.99999999720603,271.99999999720603,0.0,0.0,118.99999999877764,537.9999999931897,0.0,537.9999999931897
2021-12-16 22:21:04+01:00,0.0,146.99999999720603,271.99999999720603,0.0,0.0,117.99999999857391,536.999999992986,0.0,536.999999992986
