,Mains phase 1-,Mains phase 1,Mains phase 2-,Mains phase 2,Mains phase 3-,Mains phase 3,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,36.00000002188608,0.0,64.00000001303852,27.000000001862645,0.0,73.00000003306195,0.0,73.00000003306195
2021-12-16 22:16:24+01:00,0.0,38.00000000046566,0.0,70.99999999627471,32.99999999580905,0.0,76.00000000093132,0.0,76.00000000093132
2021-12-16 22:16:32+01:00,0.0,36.00000002188608,0.0,70.00000000698492,32.99999999580905,0.0,73.00000003306195,0.0,73.00000003306195
2021-12-16 22:16:40+01:00,0.0,43.000000005122274,0.0,76.00000000093132,33.999999999650754,0.0,85.00000000640284,0.0,85.00000000640284
2021-12-16 22:16:48+01:00,0.0,53.0000000144355,0.0,87.99999998882413,32.99999999580905,0.0,108.00000000745058,0.0,108.00000000745058
2021-12-16 22:16:56+01:00,0.0,43.000000005122274,0.0,76.00000000093132,32.99999999580905,0.0,86.00000001024455,0.0,86.00000001024455
2021-12-16 22:17:04+01:00,0.0,37.00000001117587,0.0,69.00000001769513,32.00000000651926,0.0,74.00000002235174,0.0,74.00000002235174
2021-12-16 22:17:12+01:00,0.0,36.00000002188608,0.0,63.000000023748726,25.99999999802094,0.0,73.00000004761387,0.0,73.00000004761387
2021-12-16 22:17:20+01:00,0.0,37.00000001117587,0.0,61.999999976251274,24.999999994179234,0.0,73.99999999324791,0.0,73.99999999324791
2021-12-16 22:17:28+01:00,0.0,36.00000002188608,0.0,61.999999976251274,24.999999994179234,0.0,73.00000000395812,0.0,73.00000000395812
2021-12-16 22:17:36+01:00,0.0,39.99999997904524,0.0,65.9999999916181,24.999999994179234,0.0,80.9999999764841,0.0,80.9999999764841
2021-12-16 22:17:44+01:00,0.0,43.000000005122274,0.0,68.00000002840534,25.99999999802094,0.0,85.00000003550667,0.0,85.00000003550667
2021-12-16 22:17:52+01:00,0.0,38.00000000046566,0.0,64.00000001303852,24.999999994179234,0.0,77.00000001932494,0.0,77.00000001932494
2021-12-16 22:18:00+01:00,0.0,37.00000001117587,0.0,61.999999976251274,25.99999999802094,0.0,72.9999999894062,0.0,72.9999999894062
2021-12-16 22:18:08+01:00,0.0,37.00000001117587,0.0,63.000000023748726,24.999999994179234,0.0,75.00000004074536,0.0,75.00000004074536
2021-12-16 22:18:16+01:00,0.0,36.00000002188608,0.0,60.999999986961484,24.999999994179234,0.0,72.00000001466833,0.0,72.00000001466833
2021-12-16 22:18:24+01:00,0.0,37.00000001117587,0.0,63.000000023748726,25.99999999802094,0.0,74.00000003690366,0.0,74.00000003690366
2021-12-16 22:18:32+01:00,0.0,37.00000001117587,0.0,63.000000023748726,24.999999994179234,0.0,75.00000004074536,0.0,75.00000004074536
2021-12-16 22:18:40+01:00,0.0,37.00000001117587,0.0,61.999999976251274,24.999999994179234,0.0,73.99999999324791,0.0,73.99999999324791
2021-12-16 22:18:48+01:00,0.0,37.00000001117587,0.0,61.999999976251274,25.99999999802094,0.0,72.9999999894062,0.0,72.9999999894062
2021-12-16 22:18:56+01:00,0.0,36.00000002188608,0.0,63.000000023748726,24.999999994179234,0.0,74.00000005145557,0.0,74.00000005145557
2021-12-16 22:19:04+01:00,0.0,37.00000001117587,0.0,63.000000023748726,25.99999999802094,0.0,74.00000003690366,0.0,74.00000003690366
2021-12-16 22:19:12+01:00,0.0,37.00000001117587,0.0,61.999999976251274,24.999999994179234,0.0,73.99999999324791,0.0,73.99999999324791
2021-12-16 22:19:20+01:00,0.0,36.00000002188608,0.0,61.999999976251274,24.999999994179234,0.0,73.00000000395812,0.0,73.00000000395812
2021-12-16 22:19:28+01:00,0.0,36.00000002188608,0.0,63.000000023748726,25.99999999802094,0.0,73.00000004761387,0.0,73.00000004761387
2021-12-16 22:19:36+01:00,0.0,37.00000001117587,0.0,61.999999976251274,24.999999994179234,0.0,73.99999999324791,0.0,73.99999999324791
2021-12-16 22:19:44+01:00,0.0,36.00000002188608,0.0,63.000000023748726,25.99999999802094,0.0,73.00000004761387,0.0,73.00000004761387
2021-12-16 22:19:52+01:00,0.0,37.00000001117587,0.0,61.999999976251274,24.999999994179234,0.0,73.99999999324791,0.0,73.99999999324791
2021-12-16 22:20:00+01:00,0.0,34.99999997438863,0.0,60.999999986961484,24.999999994179234,0.0,70.99999996717088,0.0,70.99999996717088
2021-12-16 22:20:08+01:00,0.0,36.00000002188608,0.0,60.999999986961484,25.99999999802094,0.0,71.00000001082662,0.0,71.00000001082662
2021-12-16 22:20:16+01:00,0.0,36.00000002188608,0.0,63.000000023748726,24.999999994179234,0.0,74.00000005145557,0.0,74.00000005145557
2021-12-16 22:20:24+01:00,0.0,36.00000002188608,0.0,61.999999976251274,24.999999994179234,0.0,73.00000000395812,0.0,73.00000000395812
2021-12-16 22:20:32+01:00,0.0,27.999999991152436,0.0,53.0000000144355,25.99999999802094,0.0,55.000000007566996,0.0,55.000000007566996
2021-12-16 22:20:40+01:00,0.0,18.999999971129,0.0,45.999999972991645,24.999999994179234,0.0,39.99999994994141,0.0,39.99999994994141
2021-12-16 22:20:48+01:00,0.0,18.999999971129,0.0,44.999999983701855,25.99999999802094,0.0,37.999999956809916,0.0,37.999999956809916
2021-12-16 22:20:56+01:00,0.0,18.999999971129,0.0,43.999999994412065,24.999999994179234,0.0,37.99999997136183,0.0,37.99999997136183
2021-12-16 22:21:04+01:00,0.0,18.999999971129,0.0,45.999999972991645,25.99999999802094,0.0,38.999999946099706,0.0,38.999999946099706
2021-12-16 22:21:12+01:00,0.0,21.000000007916242,0.0,45.999999972991645,24.999999994179234,0.0,41.99999998672865,0.0,41.99999998672865
2021-12-16 22:21:20+01:00,0.0,21.000000007916242,0.0,47.0000000204891,25.99999999802094,0.0,42.0000000303844,0.0,42.0000000303844
2021-12-16 22:21:28+01:00,0.0,17.99999998183921,0.0,43.000000005122274,24.999999994179234,0.0,35.99999999278225,0.0,35.99999999278225
2021-12-16 22:21:36+01:00,0.0,21.000000007916242,0.0,48.00000000977889,25.99999999802094,0.0,43.00000001967419,0.0,43.00000001967419
2021-12-16 22:21:44+01:00,0.0,21.000000007916242,0.0,45.999999972991645,24.999999994179234,0.0,41.99999998672865,0.0,41.99999998672865
2021-12-16 22:21:52+01:00,0.0,21.000000007916242,0.0,47.0000000204891,25.99999999802094,0.0,42.0000000303844,0.0,42.0000000303844
2021-12-16 22:22:00+01:00,0.0,20.00000001862645,0.0,45.999999972991645,24.999999994179234,0.0,40.99999999743886,0.0,40.99999999743886
2021-12-16 22:22:08+01:00,0.0,21.000000007916242,0.0,45.999999972991645,24.999999994179234,0.0,41.99999998672865,0.0,41.99999998672865
2021-12-16 22:22:16+01:00,0.0,20.00000001862645,0.0,45.999999972991645,25.99999999802094,0.0,39.99999999359716,0.0,39.99999999359716
2021-12-16 22:22:24+01:00,0.0,18.999999971129,0.0,44.999999983701855,24.999999994179234,0.0,38.99999996065162,0.0,38.99999996065162
2021-12-16 22:22:32+01:00,0.0,17.99999998183921,0.0,43.999999994412065,25.99999999802094,0.0,35.999999978230335,0.0,35.999999978230335
2021-12-16 22:22:40+01:00,0.0,64.00000001303852,0.0,90.00000002561137,24.999999994179234,0.0,129.00000004447065,0.0,129.00000004447065
2021-12-16 22:22:48+01:00,0.0,96.00000001955777,0.0,121.99999997392297,25.99999999802094,0.0,191.9999999954598,0.0,191.9999999954598
2021-12-16 22:22:56+01:00,0.0,94.99999997206032,0.0,119.0000000060536,24.999999994179234,0.0,188.99999998393469,0.0,188.99999998393469
2021-12-16 22:23:04+01:00,0.0,93.99999998277053,0.0,120.99999998463318,25.99999999802094,0.0,188.99999996938277,0.0,188.99999996938277
2021-12-16 22:23:12+01:00,0.0,94.99999997206032,0.0,119.99999999534339,24.999999994179234,0.0,189.99999997322448,0.0,189.99999997322448
2021-12-16 22:23:20+01:00,0.0,93.99999998277053,0.0,119.0000000060536,25.99999999802094,0.0,186.9999999908032,0.0,186.9999999908032
2021-12-16 22:23:28+01:00,0.0,93.99999998277053,0.0,119.0000000060536,24.999999994179234,0.0,187.9999999946449,0.0,187.9999999946449
2021-12-16 22:23:36+01:00,0.0,93.99999998277053,0.0,119.99999999534339,25.99999999802094,0.0,187.99999998009298,0.0,187.99999998009298
2021-12-16 22:23:44+01:00,0.0,92.99999999348074,0.0,119.0000000060536,24.999999994179234,0.0,187.0000000053551,0.0,187.0000000053551
2021-12-16 22:23:52+01:00,0.0,93.99999998277053,0.0,118.0000000167638,24.999999994179234,0.0,187.0000000053551,0.0,187.0000000053551
2021-12-16 22:24:00+01:00,0.0,93.99999998277053,0.0,119.0000000060536,25.99999999802094,0.0,186.9999999908032,0.0,186.9999999908032
