,Phase L1-,Phase L1,Phase L2,Phase L2-,Phase L3,Phase L3-,PV sur phase L1,PV sur phase L1-,PV sur phase L2,PV sur phase L2-,P_cons,P_prod,P_tot
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,618.0000000167638,141.99999999254942,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1234.000000007427,0.9999999999763531,1233.0000000074506
2021-12-16 22:16:24+01:00,0.0,618.9999999478459,140.00000001396984,0.0,475.00000009313226,0.0,0.0,0.9999999999763531,0.9999999999763531,0.0,1234.000000054948,0.0,1234.000000054948
2021-12-16 22:16:32+01:00,0.0,618.9999999478459,141.99999999254942,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1233.9999999385327,0.0,1233.9999999385327
2021-12-16 22:16:40+01:00,0.0,618.9999999478459,141.00000000325963,0.0,473.9999999292195,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1234.9999998803014,0.9999999999763531,1233.999999880325
2021-12-16 22:16:48+01:00,0.0,618.0000000167638,141.99999999254942,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1233.0000000074506,0.0,1233.0000000074506
2021-12-16 22:16:56+01:00,0.0,620.0000001117587,141.99999999254942,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1235.0000000335513,-0.9999999999763531,1236.0000000335276
2021-12-16 22:17:04+01:00,0.0,617.0000000856817,140.00000001396984,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1231.000000028871,0.0,1231.000000028871
2021-12-16 22:17:12+01:00,0.0,618.0000000167638,141.00000000325963,0.0,475.00000009313226,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1233.0000001131793,-0.9999999999763531,1234.0000001131557
2021-12-16 22:17:20+01:00,0.0,617.0000000856817,141.00000000325963,0.0,472.0000000670552,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1230.0000001559965,0.0,1230.0000001559965
2021-12-16 22:17:28+01:00,0.0,617.0000000856817,141.00000000325963,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1232.000000087055,0.9999999999763531,1231.0000000870787
2021-12-16 22:17:36+01:00,0.0,618.0000000167638,141.99999999254942,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1234.000000007427,0.9999999999763531,1233.0000000074506
2021-12-16 22:17:44+01:00,0.0,618.0000000167638,139.00000002468005,0.0,475.00000009313226,0.0,0.0,0.9999999999763531,0.9999999999763531,0.0,1232.000000134576,0.0,1232.000000134576
2021-12-16 22:17:52+01:00,0.0,622.9999999050051,143.999999971129,0.0,473.9999999292195,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1241.99999980533,0.9999999999763531,1240.9999998053536
2021-12-16 22:18:00+01:00,0.0,615.9999999217689,140.00000001396984,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1229.9999999338525,0.9999999999763531,1228.999999933876
2021-12-16 22:18:08+01:00,0.0,618.9999999478459,140.00000001396984,0.0,476.0000000242144,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1235.9999999860065,0.9999999999763531,1234.9999999860302
2021-12-16 22:18:16+01:00,0.0,622.9999999050051,141.00000000325963,0.0,476.9999999552965,0.0,0.0,0.9999999999763531,0.9999999999763531,0.0,1240.9999998635612,0.0,1240.9999998635612
2021-12-16 22:18:24+01:00,0.0,618.9999999478459,142.9999999818392,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1235.9999999277989,0.9999999999763531,1234.9999999278225
2021-12-16 22:18:32+01:00,0.0,617.0000000856817,140.00000001396984,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1231.0000000977652,0.9999999999763531,1230.0000000977889
2021-12-16 22:18:40+01:00,0.0,618.9999999478459,143.999999971129,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1236.9999999170886,0.9999999999763531,1235.9999999171123
2021-12-16 22:18:48+01:00,0.0,618.0000000167638,141.00000000325963,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1231.9999999492666,-0.9999999999763531,1232.999999949243
2021-12-16 22:18:56+01:00,0.0,618.0000000167638,140.00000001396984,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1231.9999999599531,0.0,1231.9999999599531
2021-12-16 22:19:04+01:00,0.0,620.0000001117587,143.999999971129,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1238.0000000121072,0.0,1238.0000000121072
2021-12-16 22:19:12+01:00,0.0,618.0000000167638,141.00000000325963,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1231.0000000181844,-0.9999999999763531,1232.0000000181608
2021-12-16 22:19:20+01:00,0.0,614.9999999906868,141.00000000325963,0.0,472.0000000670552,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1228.0000000610016,0.0,1228.0000000610016
2021-12-16 22:19:28+01:00,0.0,620.0000001117587,142.9999999818392,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1235.000000091759,-0.9999999999763531,1236.0000000917353
